year,month,value
1996,Dec,NaN
1997,Jan,NaN
1997,Feb,46.99
1997,Mar,NaN
1997,Apr,63.754
1997,May,19.304
1997,Jun,NaN
1997,Jul,NaN
1997,Aug,NaN
1997,Sept,NaN
1997,Oct,NaN
1997,Nov,NaN
1997,Dec,NaN
1998,Jan,52.832
1998,Feb,3.302
1998,Mar,24.13
1998,Apr,126.746
1998,May,37.846
1998,Jun,34.036
1998,Jul,22.606
1998,Aug,9.652
1998,Sept,10.922
1998,Oct,8.89
1998,Nov,101.6
1998,Dec,53.086
1999,Jan,65.532
1999,Feb,54.102
1999,Mar,68.072
1999,Apr,51.308
1999,May,50.8
1999,Jun,15.748
1999,Jul,32.512
1999,Aug,10.922
1999,Sept,5.842
1999,Oct,46.482
1999,Nov,19.304
1999,Dec,99.568
2000,Jan,59.436
2000,Feb,6.858
2000,Mar,24.384
2000,Apr,64.516
2000,May,6.604
2000,Jun,6.35
2000,Jul,26.924
2000,Aug,36.83
2000,Sept,5.334
2000,Oct,27.94
2000,Nov,78.486
2000,Dec,8.636
2001,Jan,13.208
2001,Feb,79.248
2001,Mar,25.146
2001,Apr,26.924
2001,May,17.78
2001,Jun,55.118
2001,Jul,19.812
2001,Aug,19.304
2001,Sept,11.176
2001,Oct,58.928
2001,Nov,129.794
2001,Dec,41.402
2002,Jan,168.656
2002,Feb,17.018
2002,Mar,9.398
2002,Apr,31.75
2002,May,49.784
2002,Jun,9.906
2002,Jul,11.684
2002,Aug,14.732
2002,Sept,4.572
2002,Oct,82.042
2002,Nov,25.654
2002,Dec,8.128
2003,Jan,42.164
2003,Feb,36.322
2003,Mar,91.186
2003,Apr,34.29
2003,May,7.112
2003,Jun,13.716
2003,Jul,20.066
2003,Aug,NaN
2003,Sept,5.842
2003,Oct,15.494
2003,Nov,66.802
2003,Dec,179.07
2004,Jan,258.064
2004,Feb,145.796
2004,Mar,63.246
2004,Apr,56.642
2004,May,41.402
2004,Jun,22.86
2004,Jul,27.432
2004,Aug,140.208
2004,Sept,51.562
2004,Oct,15.494
2004,Nov,55.88
2004,Dec,127.762
2005,Jan,165.354
2005,Feb,56.134
2005,Mar,52.324
2005,Apr,40.386
2005,May,16.51
2005,Jun,18.542
2005,Jul,19.304
2005,Aug,4.572
2005,Sept,58.928
2005,Oct,112.268
2005,Nov,61.976
2005,Dec,19.304
2006,Jan,57.912
2006,Feb,48.26
2006,Mar,488.95
2006,Apr,18.796
2006,May,27.432
2006,Jun,6.604
2006,Jul,18.542
2006,Aug,22.352
2006,Sept,27.686
2006,Oct,35.56
2006,Nov,89.154
2006,Dec,19.05
2007,Jan,29.972
2007,Feb,39.116
2007,Mar,58.674
2007,Apr,31.242
2007,May,9.906
2007,Jun,12.954
2007,Jul,15.748
2007,Aug,18.796
2007,Sept,34.544
2007,Oct,NaN
2007,Nov,NaN
2007,Dec,NaN
