SKN,Name,Lat_DD,Lon_DD,ElevFT,Observer,UsedInRFA,NumMosRFAvg,DataSources,StationStatus,NumMos,MinYear,MaxYear,Changepoint
3.00,South Pt Corral,18.94700043,-155.6799932,400,PARKER RANCH,No,0,"NCDC, State, State/NCDC",Discontinued,413,1948,1982,no
3.10,Kahuku 2 Makai,19.13838146,-155.6986016,4300,KAHUKU RANCH,No,0,State,Discontinued,307,1949,1974,no
3.11,Mauka Reservoir 3.11,19.159,-155.674,4990,NCDC,No,0,NCDC,Current,175,1983,2007,no
3.20,Kahuku Shed I,19.11421567,-155.6972128,3500,KAHUKU RANCH,Yes,12,State,Discontinued,701,1914,1974,no
3.30,Kealakoa,19.11504791,-155.6330485,3100,KAHUKU RANCH,No,0,State,Discontinued,238,1954,1974,no
3.40,Kahiawai,19.12754937,-155.7577673,3700,SMITH RUSSELL,Yes,12,State,Discontinued,109,1965,1977,no
3.50,Glover,19.12782672,-155.7180456,3960,KAHUKU RANCH,No,0,State,Discontinued,148,1962,1974,no
3.60,Manuwai Nui,19.12310389,-155.6766578,3760,KAHUKU RANCH,No,0,State,Discontinued,130,1963,1974,no
3.80,Kahiawai Mauka,19.13227142,-155.759156,4120,SMITH R,No,0,State,Discontinued,10,1976,1978,no
4.00,Kamaoa,19.0042156,-155.6638817,1070,KAWAIHAE RANCH,No,0,State,Discontinued,96,1945,1952,no
4.10,Kahuku Rch Hse,19.05532714,-155.6922135,2000,KAHUKU RANCH,Yes,12,State,Discontinued,703,1914,1974,no
4.11,Kamaoa,19.04143649,-155.6277712,1074,KAWAIHAE RANCH,No,0,State,Discontinued,14,1970,1971,no
4.20,Keaa Homesteads,19.04365913,-155.6588813,1680,BARTELS MRS F,No,0,State,Discontinued,64,1901,1906,no
4.30,Kaalualu Bay,18.97033138,-155.6138838,20,HUTCHINSON SUGAR,No,0,State,Discontinued,67,1956,1961,no
4.40,KAMAOA 100,18.99699348,-155.6605485,1000,KAHUKU RANCH,No,0,State,Discontinued,244,1954,1974,no
4.60,George Peck,18.99893763,-155.657493,1022,KAHUKU RANCH,No,0,State,Discontinued,145,1962,1974,no
4.90,Kaalualu,18.93777778,-155.6458333,15,HAWN RANCH,No,0,State,Discontinued,153,1962,1974,no
5.00,Kamaoa-P Ranch,19.02532608,-155.6672146,1375,PARKER RANCH,No,0,"NCDC, State, State/NCDC",Discontinued,527,1939,1983,no
5.10,Kamaoa Puueo 5.1,19.008,-155.643,1040,NCDC,Yes,12,NCDC,Current,291,1983,2007,no
6.00,Kiolakaa A&F,19.07032619,-155.6355484,1925,STATE DIV FTRY,Yes,11,"NCDC, State, State/NCDC",Discontinued,753,1929,1998,no
6.10,Kau-Hayselden,19.07532634,-155.6222157,1850,HAYSELDEN WH,No,0,State,Discontinued,114,1904,1913,no
7.00,Kiolakaa-Hayseld,19.05032561,-155.6222157,1050,HAYSELDEN WH,Yes,12,"NCDC, State, State/NCDC",Discontinued,472,1914,1953,no
7.10,Field 140,19.07032708,-155.5972166,1450,HUTCHINSON SUGAR,No,0,State,Discontinued,101,1964,1972,no
9.00,Punaluu Kahawai,19.24698362,-155.6055497,6200,STATE DIV FTRY,No,0,State,Discontinued,177,1928,1966,no
9.10,Mauna Loa,19.24365061,-155.6105496,6200,KAHUKU RANCH,No,0,State,Discontinued,52,1959,1966,no
10.00,MOUNTAIN HOUSE,19.14310163,-155.6111051,3065,HUTCHINSON SUGAR,No,0,State,Discontinued,583,1920,1973,no
10.10,New Mt House Rd,19.12199154,-155.593328,1920,HUTCHINSON SUGAR,No,0,State,Discontinued,102,1964,1972,no
11.00,MAKINO,19.09032645,-155.5988834,120,HUTCHINSON SUGAR,No,0,State,Discontinued,567,1939,1986,no
11.20,Haao Springs,19.08782636,-155.619438,2700,HUTCHINSON SUGAR,No,0,State,Discontinued,101,1964,1972,no
11.30,Field 450,19.10699234,-155.5930502,2200,HUTCHINSON SUGAR,No,0,State,Discontinued,101,1964,1972,no
11.40,Field 350,19.08449338,-155.5916613,1920,HUTCHINSON SUGAR,No,0,State,Discontinued,101,1964,1972,no
12.00,Kaala Iki,19.12532461,-155.5622178,1340,KAU SUGAR,Yes,11,"NCDC, State, State/NCDC",Discontinued,567,1939,1986,no
12.10,Hilea,19.13365789,-155.5355517,330,HUTCHINSON SUGAR,Yes,11,State/NCDC,Discontinued,583,1885,1938,no
12.11,Field 765,19.16782193,-155.5472179,1700,HUTCHINSON SUGAR,No,0,State,Discontinued,100,1964,1972,no
12.12,Field 715,19.16337795,-155.5336071,1150,HUTCHINSON SUGAR,Yes,12,State,Discontinued,233,1955,1974,no
12.13,Hilea Gulch Trib,19.17421032,-155.597217,3040,USGS,Yes,11,State,Discontinued,249,1967,1991,no
12.14,FIELD 700,19.15032348,-155.5191631,650,HUTCHINSON SUGAR,No,0,State,Discontinued,13,1971,1972,no
12.15,Sea Mountain,19.13310292,-155.5152744,70,SEA MOUNTAIN,Yes,10,"NCDC, State/NCDC",Current,299,1982,2007,no
12.70,Field 656,19.14976747,-155.5791617,1750,HUTCHINSON SUGAR,No,0,State,Discontinued,120,1964,1973,no
12.80,Field 750,19.17976517,-155.5722178,2120,HUTCHINSON SUGAR,No,0,State,Discontinued,101,1964,1972,no
12.90,Field 850,19.17893212,-155.5527735,1952,HUTCHINSON SUGAR,No,0,State,Discontinued,180,1962,1976,no
13.00,Waiubata,19.09643735,-155.5672178,1375,HUTCHINSON SUGAR,Yes,12,State,Discontinued,565,1939,1986,no
13.20,Field 435,19.10532565,-155.5772175,1800,HUTCHINSON SUGAR,Yes,12,State,Discontinued,209,1955,1972,no
13.30,Field 51,19.12032479,-155.5738842,1740,HUTCHINSON SUGAR,No,0,State,Discontinued,84,1964,1970,no
13.70,Naalehu Airstrip,19.07532737,-155.5758284,1180,HUTCHINSON SUGAR,No,0,State,Discontinued,98,1964,1972,no
13.80,Kaala Iki Astrip,19.13004644,-155.5738842,1750,HUTCHINSON SUGAR,No,0,State,Discontinued,267,1964,1986,no
14.00,Naalehu,19.06032754,-155.5855501,675,KAU SUGAR,Yes,12,"NCDC, State/NCDC",Current,1394,1890,2007,no
14.10,Honuapo  25,19.08032814,-155.5541624,1895,HUTCHINSON SUGAR,No,0,State,Discontinued,147,1895,1907,no
14.20,Naalehu Hewitt,19.06366105,-155.5805503,1250,GC HEWITT,No,0,State,Discontinued,47,1896,1900,no
14.30,Naalehu (1725),19.08032681,-155.5972167,1725,HEWITT GC,No,0,State,Discontinued,30,1898,1900,no
15.00,Honuapo,19.0917161,-155.5488851,20,HUTCHINSON SUGAR,Yes,12,State,Discontinued,409,1939,1973,no
16.00,Moaula Tunnel,19.21837381,-155.5438844,3000,HAWN AG,No,0,State,Discontinued,238,1923,1954,no
16.10,Field 009,19.19698641,-155.5472179,2325,HAWN AG,No,0,State,Discontinued,55,1967,1971,no
17.00,Moaula Res,19.19837542,-155.5272179,1950,HAWN AG,Yes,6,State,Discontinued,901,1911,1986,no
17.10,Moaula-Willis,19.19698684,-155.5138847,1700,WILLIS TC,No,0,State,Discontinued,58,1898,1902,no
17.20,Higashi Camp,19.19865342,-155.5111068,1610,HAWN AG,Yes,12,State,Discontinued,105,1949,1957,no
18.00,Moaula,19.18032172,-155.4922181,600,Kapapala RANCH,Yes,12,"NCDC, State/NCDC",Discontinued,750,1920,1983,no
20.00,Alili Tunnel 2,19.22531792,-155.5172177,2800,HAWN AG,Yes,9,State,Discontinued,151,1942,1954,no
20.10,ALILI TUNNEL 1,19.23726142,-155.5255509,3500,HAWN AG,No,0,State,Discontinued,396,1943,1975,no
20.20,Alili,19.22004051,-155.5211066,2800,HAWN AG,Yes,12,State,Discontinued,283,1954,1986,no
20.40,Field 100,19.2303176,-155.5091621,2675,HAWN AG,No,0,State,Discontinued,124,1969,1983,no
20.50,Field 303,19.24559424,-155.4983287,2840,KAU PLANTATION,No,0,State,Discontinued,86,1979,1986,no
21.00,Pahala*,19.19,-155.47,875,KAU SUGAR,Yes,6,"Hydronet, NCDC, State, State/NCDC",Current,1352,1892,2008,no
21.30,Pahala Mauka 21.3,19.204,-155.48,1090,NCDC,Yes,12,NCDC,Current,262,1985,2007,no
22.00,Keaiwa,19.23365092,-155.4769399,1650,HAWN AG,Yes,12,State,Discontinued,396,1920,1952,no
22.10,Keaiwa Camp,19.2336509,-155.4788844,1700,KAU SUGAR,Yes,12,State,Discontinued,399,1953,1986,no
23.00,Kahuku,19.23222222,-155.78,5894,RAWS,No,0,RAWS,Current,43,2006,2009,no
24.00,Ohia Lodge,19.2636556,-155.8741544,1320,REDFEARN MRS A,No,0,State,Discontinued,22,1948,1950,no
24.10,Opihihale 2,19.27032215,-155.8738768,1300,TRUMAN LORNA,Yes,12,"NCDC, State, State/NCDC",Current,634,1955,2007,no
24.20,Kaohe-Brown,19.31198823,-155.8772104,950,BROWN DM,No,0,State,Discontinued,24,1980,1981,no
25.00,Pahoehoe,19.34393212,-155.8749878,1000,LINCOLN LP,No,0,State,Discontinued,207,1930,1947,no
25.10,Kalahiki (750),19.40948383,-155.8894343,750,MCDOUGALL GW,No,0,State,Discontinued,144,1895,1907,no
25.20,Kalahiki (1500),19.38031887,-155.8638781,1500,MCDOUGALL GW,No,0,State,Discontinued,41,1904,1907,no
25.30,Hookena,19.38031884,-155.8805447,850,ENDO CAROLYN,No,0,State,Discontinued,41,1926,1929,no
25.40,Kalahiki (1800),19.41198392,-155.8722121,1800,MCDOUGALL GW,No,0,State,Discontinued,36,1901,1903,no
25.50,Mccandless Off,19.37698576,-155.8772112,860,MCCANDLESS RANCH,No,0,State,Discontinued,39,1956,1959,no
25.60,Kahauko Pen,19.37698549,-155.8938779,230,MCCANDLESS RANCH,No,0,State,Discontinued,25,1957,1959,no
25.70,Pahoehoe Ranch,19.33864,-155.87191,1100,MAGOON ESTATE,Yes,12,State,Discontinued,281,1953,1977,no
26.00,Takashiba,19.49031296,-155.895546,2100,KONA EXP STATION,Yes,12,State,Discontinued,500,1937,1979,no
26.10,TANK FIELD,19.49531248,-155.8855462,2600,KEALAKEKUA RANCH,No,0,State,Discontinued,232,1953,1973,no
26.20,Kealakekua,19.48975723,-155.9122125,1450,GREENWELL ESTATE,Yes,12,"NCDC, State, State/NCDC",Current,830,1901,2007,no
26.30,Waipunaula,19.49420151,-155.8930461,2320,BRENNER GEO,No,0,State,Discontinued,334,1969,2002,no
27.00,Honaunau,19.4403158,-155.8788789,1090,TANAKA S,Yes,12,"NCDC, State, State/NCDC",Current,784,1938,2007,no
27.10,Uyeda-Honaunau,19.43198288,-155.8872122,690,BISHOP ESTATE,No,0,State,Discontinued,25,1956,1962,no
27.20,Honaunau Forst 1,19.4119837,-155.8572121,2240,BISHOP ESTATE,No,0,State,Discontinued,53,1954,1962,no
27.30,Honaunau Forst 2,19.41698295,-155.8372123,3450,BISHOP ESTATE,No,0,State,Discontinued,8,1957,1962,no
27.40,City Of Refuge,19.41809471,-155.9094344,15,HAW NATL HSTL PA,Yes,12,"NCDC, State, State/NCDC",Current,456,1965,2007,no
27.50,Honaunau-Steffen,19.41753913,-155.8813788,980,STEFFEN GE,No,0,State,Discontinued,84,1977,1983,no
27.60,Honaunau No. 2*,19.47,-155.89,1306,Hydronet,No,0,Hydronet,Current,193,1992,2008,no
28.00,Napoopoo,19.46864784,-155.9055458,400,KONA EXP STATION,Yes,11,"NCDC, State, State/NCDC",Current,1084,1905,2007,no
28.10,Napoopoo 16,19.47336949,-155.9188791,15,AMERICAN FACTORS,Yes,9,State,Discontinued,448,1901,1938,no
28.20,Keei Middle Rd,19.46198161,-155.8972124,680,GLASS EE,Yes,11,State,Discontinued,275,1955,1981,no
28.30,Kahauloa 2,19.46364797,-155.8788792,1520,BISHOP ESTATE,No,0,State,Discontinued,24,1956,1957,no
28.40,Keei Makai 2,19.44531561,-155.8916567,5801,BISHOP ESTATE,No,0,State,Discontinued,43,1954,1962,no
28.60,Napoopookai,19.46836978,-155.9211013,10,COULTER BRUCE,No,0,State,Discontinued,51,1971,1975,no
28.70,Kealakekua #2,19.49697886,-155.9138792,1450,MEIER MRS LILAH,No,0,State,Discontinued,9,1976,1977,no
28.90,Honaunau,19.44975979,-155.8805456,1146,MCLEAN-HUMPHREY,No,0,State,Discontinued,7,1982,1982,no
29.00,Kaawaloa,19.4919792,-155.9172124,1340,CAPT COOK INVEST,Yes,8,"NCDC, State, State/NCDC",Discontinued,899,1919,1999,no
29.10,Kealakekua-Davis,19.50697819,-155.9172125,1580,DAVIS REV SH,No,0,State,Discontinued,294,1891,1915,no
29.12,Kealakekua T.f.*,19.52,-155.92,1765,Hydronet,No,0,Hydronet,Current,215,1991,2008,no
29.20,Kalukalu,19.50864472,-155.9205458,1500,GREENWELL EC,Yes,12,State,Discontinued,120,1920,1929,no
29.30,Konawaena,19.50864475,-155.9172126,1580,BUTTLES W,No,0,State,Discontinued,98,1956,1964,no
29.40,Konawaena School,19.50864479,-155.9138793,1670,KONAWAENA SCH AG,No,0,State,Discontinued,81,1957,1964,no
29.50,Kanakamelai,19.53364313,-155.8805471,3120,WH GREENWELL ESTATE,Yes,12,State,Discontinued,351,1956,1986,no
29.60,Onouli,19.50031189,-155.9208235,1350,MITCHELL DR J,No,0,State,Discontinued,56,1959,1986,no
29.80,Onouli (1600),19.50197854,-155.9138792,1600,GREENWELL ESTATE,Yes,12,State,Discontinued,284,1960,1983,no
29.90,Malukalu,19.5142001,-155.8949909,2560,GREENWELL ESTATE,No,0,State,Discontinued,283,1962,1986,no
30.00,Komakawai,19.39864788,-155.7716573,6150,MCCANDLESS RANCH,Yes,12,State,Discontinued,131,1944,1961,no
30.10,Big Hill,19.40031632,-155.8122122,4640,MCCANDLESS RANCH,No,0,State,Discontinued,45,1957,1961,no
30.20,Palipakika,19.38031865,-155.8472114,3100,MCCANDLESS RANCH,No,0,State,Discontinued,29,1958,1961,no
30.30,Kiilae Stream,19.41142799,-155.846101,2898,USGS,Yes,12,State,Discontinued,226,1960,1982,no
31.00,Haupuu,19.43142557,-155.8119351,4500,MCCANDLESS RANCH,Yes,12,State,Discontinued,82,1944,1952,no
34.00,Kapapala Rch*,19.28,-155.45,2095,Hydronet,No,0,Hydronet,Current,124,1998,2008,no
35.00,Wood Valley Tunn,19.27031477,-155.4955512,3400,HAWN AG,No,0,State,Discontinued,188,1923,1954,no
35.10,KEAIWA RES,19.24864956,-155.5005509,3060,HAWN AG,No,0,State,Discontinued,294,1954,1979,no
35.20,Wood Valley Camp,19.26864852,-155.4705514,2150,HAWN AG,No,0,State,Discontinued,139,1949,1981,no
35.30,Wood Valley 2000,19.2469831,-155.480551,2000,HAWN AG,No,0,State,Discontinued,99,1911,1919,no
35.40,Wood Valley Res,19.27198146,-155.4855513,2470,HAWN AG,No,0,State,Discontinued,5,1948,1949,no
35.60,Wood Valley,19.27031505,-155.4741625,2200,HAWN AG,Yes,12,State,Discontinued,305,1955,1986,no
36.00,Kapapala,19.27698138,-155.4505518,2140,Kapapala RANCH,Yes,12,"NCDC, State, State/NCDC",Current,1454,1886,2007,no
36.10,Field 481,19.3003131,-155.4688851,3250,HAWN AG,Yes,12,State,Discontinued,72,1955,1960,no
36.20,Field 480,19.29697994,-155.463885,3075,HAWN AG,No,0,State,Discontinued,36,1973,1975,no
37.00,Pakao,19.36864279,-155.4638871,5155,Kapapala RANCH,Yes,7,"NCDC, State/NCDC",Discontinued,583,1928,1977,no
37.10,Mauna Anu,19.34697668,-155.5138856,6600,KAPAPALA RANCH,Yes,4,State,Discontinued,67,1922,1928,no
38.00,AINAPO,19.35697814,-155.4222206,3675,HAWN RANCH,No,0,State,Discontinued,628,1925,1977,no
38.10,MAUNALOA 6700,19.47585994,-155.3805564,6700,HAW VOLCANO OBS,No,0,State,Discontinued,380,1951,1983,no
38.20,HALINA PALI,19.29698497,-155.3080502,2358,HAW VOLCANO OBS,No,0,State,Discontinued,79,1958,1965,no
38.30,HALAPA,19.27031925,-155.2563846,10,HAW VOLCANO OBS,No,0,State,Discontinued,23,1958,1964,no
38.40,DESERT,19.32198099,-155.3941638,2520,HAW VOLCANO OBS,No,0,State,Discontinued,89,1958,1965,no
38.50,Kalapana 2,19.28392871,-155.1166644,60,HAW VOL NAT PARK,Yes,12,State,Discontinued,213,1966,1983,no
38.60,Naulu Forest,19.31531454,-155.1322199,1400,HAW VOL NAT PARK,No,0,State,Discontinued,65,1965,1970,no
38.70,Kipuka Nene,19.32642878,-155.2780526,2926.6128,HAW VOL NATL PARK,Yes,3,State,Current,433,1972,2008,no
39.00,Mauna Lo Slo Obs,19.53529983,-155.5755538,11145,NWS,Yes,12,"NCDC, State/NCDC",Current,615,1955,2007,no
39.10,Mauna Loa Upper,19.53863295,-155.5722206,10960,NWS,No,0,State,Discontinued,251,1955,1975,no
43.10,MAUNAIU,19.42864106,-155.3638894,4500,HAWN RANCH,No,0,State,Discontinued,608,1925,1976,no
43.20,Pahua Mimi,19.41530774,-155.4155555,5140,KAPAPALA RANCH,Yes,11,"NCDC, State, State/NCDC",Discontinued,265,1922,1944,no
44.00,Ohaikea,19.404617,-155.342992,3480,HAWN RANCH,Yes,12,State,Discontinued,626,1925,1977,no
44.10,Ohaikea (3750),19.42197578,-155.3272225,3750,USDA FRUIT FLY L,No,0,State,Discontinued,12,1951,1951,no
44.20,VOLCANO 4,19.41753219,-155.3102779,3760,MAUNA LOA OBSV,No,0,State,Discontinued,10,1978,1979,no
44.30,VOLCANO 5,19.40753327,-155.3272214,3570,MAUNA LOA OBSV,No,0,State,Discontinued,10,1978,1979,no
45.00,Kekekaniho,19.45363981,-155.3305566,4700,KAPAPALA RANCH,No,0,State,Discontinued,91,1937,1949,no
45.10,MAUNA LOA (5500),19.47197146,-155.3655566,5550,HAW VOLCANO OBS,No,0,State,Current,671,1952,2008,no
45.20,Mauna Loa Truck,19.46697199,-155.3475012,5100,USDA FRUIT FLY L,No,0,State,Discontinued,3,1952,1952,no
45.30,MAUNALOA TRK TRL,19.4786375,-155.3858342,5300,USDA FRUIT FLY L,No,0,State,Current,293,1984,2008,no
45.40,Maunaloa T 5300,19.46947176,-155.3541678,6600,UH BOTANY DEPT,No,0,State,Discontinued,29,1972,1974,no
45.50,Maunaloa T 6600,19.49058134,-155.3855564,7500,UH BOTANY DEPT,No,0,State,Discontinued,5,1972,1972,no
46.00,7500,19.48030335,-155.4222225,7500,BALDWIN PAUL,No,0,State,Discontinued,8,1948,1949,no
46.10,6700,19.46919317,-155.4083338,6700,BALDWIN PAUL,No,0,State,Discontinued,9,1948,1949,no
46.11,Kalanaokuaiki,19.37475671,-155.2363879,3350,BALDWIN PAUL,No,0,State,Discontinued,10,1948,1949,no
46.12,Kipuka Nene #3,19.33281667,-155.2783305,3000,BALDWIN PAUL,No,0,State,Discontinued,10,1948,1949,no
46.13,Kipuka Nene #2,19.33281667,-155.2783305,3000,BALDWIN PAUL,No,0,State,Discontinued,10,1948,1949,no
46.14,Kipuka Papalinam,19.31698707,-155.2519419,2500,BALDWIN PAUL,No,0,State,Discontinued,2,1948,1948,no
46.15,Kipuka Keanabiho,19.31476284,-155.3072175,2350,BALDWIN PAUL,No,0,State,Discontinued,10,1948,1949,no
46.20,5900,19.46363826,-155.3916673,5900,BALDWIN,No,0,State,Discontinued,9,1948,1949,no
46.30,5500,19.47363808,-155.3630566,5500,BALDWIN PAUL,No,0,State,Discontinued,11,1948,1949,no
46.40,4400,19.43169672,-155.3416672,4400,BALDWIN PAUL,No,0,State,Discontinued,10,1948,1949,no
46.50,Bird Park,19.44197457,-155.2983343,4050,BALDWIN PAUL,No,0,State,Discontinued,10,1948,1949,no
46.70,TWIN CRATERS,19.41586577,-155.2388897,3875,PAUL BALDWIN,No,0,State,Discontinued,10,1948,1949,no
46.80,Lua Manu,19.39919969,-155.2544442,3660,BALDWIN PAUL,No,0,State,Discontinued,10,1948,1949,no
46.90,Ainahou Gate,19.35114724,-155.2258315,3070,BALDWIN PAUL,No,0,State,Discontinued,10,1948,1949,no
47.00,Keamoku Lava Flow,19.47555556,-155.3627778,5600,RAWS,No,0,RAWS,Discontinued,39,1988,1997,no
48.00,Pali 2,19.3175,-155.2922222,2780,RAWS,No,0,RAWS,Current,109,1999,2009,no
49.00,Keaumo,19.47361111,-155.3588889,5520,RAWS,Yes,12,RAWS,Current,116,1999,2009,no
51.00,Kilauea N Rim,19.43697516,-155.2705566,4050,WENTWORTH CK,No,0,State,Discontinued,224,1945,1966,no
51.10,Keauhou,19.43864165,-155.27889,4000,WH SHIPMAN,No,0,State,Discontinued,79,1948,1978,no
51.13,Vol Golf Course,19.43864167,-155.2761122,4000,MAUNA LOA OBSV,No,0,State,Discontinued,9,1978,1979,no
51.20,Kilauea Camp,19.40531048,-155.2577778,3765,HAW VOL NAT PARK,No,0,State,Discontinued,50,1934,1938,no
51.30,Olaa 29 Miles,19.43030925,-155.25139,3800,GIFFARD WM,No,0,State,Discontinued,57,1917,1921,no
51.40,Volcano House,19.42864255,-155.2588899,3975,VOLCANO HOUSE,Yes,12,State,Discontinued,271,1888,1916,no
51.50,Volcano Farm Lot,19.4653072,-155.2488911,3850,GALBRAITH WR,No,0,State,Discontinued,164,1956,1975,no
51.70,Mauna Loa Truck,19.43864136,-155.3083342,4000,USDA FRUIT FLY L,No,0,State,Discontinued,22,1952,1953,no
51.80,Kipuka Ki,19.44336304,-155.3172232,4250,USDA FRUIT FLY L,No,0,State,Discontinued,41,1950,1974,no
51.90,Volcano Golf Cou,19.48086163,-155.2669465,4200,WRISTON ARTHUR,No,0,State,Discontinued,203,1976,1993,no
52.00,Halemaumau,19.40197768,-155.2805551,3650,HAW VOL NAT PARK,Yes,12,"NCDC, State, State/NCDC",Current,886,1932,2008,no
52.10,UWEKAHUNA,19.41864319,-155.2922225,4050,HAWAII VOL OBS,No,0,State,Discontinued,479,1948,1988,no
52.20,KILAUEA SW RIFT,19.40003424,-155.2944439,3700,MAUNA LOA OBSV,No,0,State,Discontinued,10,1978,1979,no
54.00,Hawaii Nat Pk Hq,19.429741,-155.257146,3970,HAW VOL NATL PARK,Yes,12,"NCDC, State, State/NCDC",Current,1129,1913,2007,no
54.10,Ohianlani Dairy,19.42669854,-155.2386123,3780,ENGLISH MISS M,Yes,11,State,Discontinued,277,1934,1957,no
54.11,KILAUEA D DF,19.41086592,-155.2447226,3600,HAW VOL NAT PARK,No,0,State,Discontinued,10,1966,1968,no
54.12,DEVASTATION AREA,19.4069771,-155.2544445,3700,HAW VOL NAT PARK,No,0,State,Discontinued,10,1966,1968,no
54.13,DEVASTATION AREA,19.40225508,-155.2580554,3700,HAW VOL NAT PARK,No,0,State,Discontinued,10,1966,1968,no
54.14,Devastation Area,19.3958665,-155.261944,3660,HAW VOL NAT PARK,No,0,State,Discontinued,10,1966,1968,no
54.20,Glenwood,19.5105,-155.1722,2620,HELBUSH XL,No,0,"Hydronet, State",Current,330,1916,2008,no
54.30,Glenwood-P Sug,19.52030552,-155.1372266,2180,PUNA SUGAR,No,0,State,Discontinued,93,1951,1959,no
54.40,26 Miles,19.44003119,-155.2111136,3450,SHIPMAN WH,No,0,State,Discontinued,297,1951,1976,no
54.50,Haunani Road,19.43030932,-155.2472234,3900,HORNER EUGENE,No,0,State,Discontinued,60,1954,1958,no
54.60,KILAUEA KI B-BF,19.41586565,-155.2488895,3480,HAW VOL NAT PARK,No,0,State,Discontinued,10,1966,1968,no
54.70,Kilauea Iki #1,19.41419906,-155.2483338,3508,HAW VOL NAT PK,No,0,State,Discontinued,27,1960,1968,no
54.80,KILAUEA C CF,19.41308797,-155.2502782,3480,HAW VOL NAT PARK,No,0,State,Discontinued,10,1966,1968,no
54.90,KILAUEA A AF,19.4128103,-155.2425006,3600,HAW VOL NAT PARK,No,0,State,Discontinued,10,1966,1968,no
55.00,Volcano Haunani,19.43225376,-155.2375015,3740,MCBRIDE RICHARD,Yes,11,State,Discontinued,270,1970,1993,no
